"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.101307189542484,0.0522875816993464,0.0326797385620915,0.042483660130719,0.0196078431372549,0.0326797385620915,0.0228758169934641,0.11437908496732,0.0065359477124183,0.0490196078431373,0.111111111111111,0.0718954248366013,0.0228758169934641,0.0392156862745098,0.042483660130719,0.0522875816993464,0.0555555555555556,0.00980392156862745,0.0294117647058824,0.0915032679738562
"O81845",0.101307189542484,0.0522875816993464,0.0326797385620915,0.042483660130719,0.0196078431372549,0.0326797385620915,0.0228758169934641,0.11437908496732,0.0065359477124183,0.0490196078431373,0.111111111111111,0.0718954248366013,0.0228758169934641,0.0392156862745098,0.042483660130719,0.0522875816993464,0.0555555555555556,0.00980392156862745,0.0294117647058824,0.0915032679738562
"O77792",0.0869565217391304,0.0568561872909699,0.0267558528428094,0.040133779264214,0.0234113712374582,0.0301003344481605,0.0468227424749164,0.0869565217391304,0.0167224080267559,0.0468227424749164,0.0903010033444816,0.0434782608695652,0.0434782608695652,0.0468227424749164,0.0501672240802676,0.0602006688963211,0.0869565217391304,0.00668896321070234,0.0367892976588629,0.0735785953177258
"Q9N2I9",0.0869565217391304,0.0568561872909699,0.0301003344481605,0.0367892976588629,0.0267558528428094,0.0334448160535117,0.0434782608695652,0.0836120401337793,0.0133779264214047,0.0434782608695652,0.0903010033444816,0.0468227424749164,0.0367892976588629,0.0434782608695652,0.0535117056856187,0.0602006688963211,0.0903010033444816,0.00668896321070234,0.0367892976588629,0.0802675585284281
"Q54MZ4",0.069204152249135,0.041522491349481,0.055363321799308,0.027681660899654,0.0173010380622837,0.0346020761245675,0.0346020761245675,0.0865051903114187,0.0103806228373702,0.0830449826989619,0.107266435986159,0.0657439446366782,0.0173010380622837,0.0484429065743945,0.041522491349481,0.0484429065743945,0.0830449826989619,0.00346020761245675,0.055363321799308,0.069204152249135
"O97649",0.0869565217391304,0.0602006688963211,0.0367892976588629,0.0367892976588629,0.0234113712374582,0.0334448160535117,0.0468227424749164,0.0802675585284281,0.0133779264214047,0.040133779264214,0.0903010033444816,0.0468227424749164,0.0367892976588629,0.0367892976588629,0.0602006688963211,0.0602006688963211,0.0769230769230769,0.00668896321070234,0.0367892976588629,0.0903010033444816
"P56499",0.0836120401337793,0.0702341137123746,0.0234113712374582,0.0334448160535117,0.0234113712374582,0.0367892976588629,0.040133779264214,0.0903010033444816,0.0167224080267559,0.040133779264214,0.0802675585284281,0.040133779264214,0.0434782608695652,0.0501672240802676,0.0568561872909699,0.0535117056856187,0.0802675585284281,0.0100334448160535,0.0334448160535117,0.0936454849498328
"P56501",0.0936454849498328,0.0702341137123746,0.0234113712374582,0.0301003344481605,0.0234113712374582,0.040133779264214,0.040133779264214,0.0869565217391304,0.0167224080267559,0.040133779264214,0.0802675585284281,0.0434782608695652,0.0434782608695652,0.0501672240802676,0.0501672240802676,0.0501672240802676,0.0769230769230769,0.0100334448160535,0.0367892976588629,0.0936454849498328
"Q6NUK1",0.0722021660649819,0.0469314079422383,0.0288808664259928,0.0216606498194946,0.0108303249097473,0.0469314079422383,0.0433212996389892,0.115523465703971,0.0072202166064982,0.0685920577617329,0.0974729241877256,0.075812274368231,0.0433212996389892,0.0324909747292419,0.0397111913357401,0.0613718411552347,0.0541516245487365,0.0180505415162455,0.0505415162454874,0.0649819494584837
"P55916",0.0875420875420875,0.0505050505050505,0.0303030303030303,0.0437710437710438,0.0269360269360269,0.0303030303030303,0.0471380471380471,0.0808080808080808,0.0101010101010101,0.037037037037037,0.0875420875420875,0.0505050505050505,0.037037037037037,0.0471380471380471,0.0572390572390572,0.0538720538720539,0.0808080808080808,0.00673400673400673,0.037037037037037,0.0976430976430976
"Q9ZWG1",0.100346020761246,0.0519031141868512,0.027681660899654,0.0380622837370242,0.0207612456747405,0.0449826989619377,0.0242214532871972,0.0934256055363322,0.0069204152249135,0.0899653979238754,0.114186851211073,0.055363321799308,0.0207612456747405,0.055363321799308,0.0380622837370242,0.041522491349481,0.069204152249135,0.0103806228373702,0.0311418685121107,0.0657439446366782
"A5PJZ1",0.075812274368231,0.0433212996389892,0.0288808664259928,0.0180505415162455,0.0108303249097473,0.0469314079422383,0.0469314079422383,0.115523465703971,0.0072202166064982,0.0469314079422383,0.104693140794224,0.075812274368231,0.0469314079422383,0.0324909747292419,0.0397111913357401,0.0613718411552347,0.0541516245487365,0.0180505415162455,0.0505415162454874,0.075812274368231
"Q7T0U6",0.0919117647058824,0.0441176470588235,0.0330882352941176,0.0110294117647059,0.0110294117647059,0.0367647058823529,0.0477941176470588,0.121323529411765,0.00735294117647059,0.0661764705882353,0.0992647058823529,0.0882352941176471,0.0441176470588235,0.0294117647058824,0.0330882352941176,0.0514705882352941,0.0551470588235294,0.0183823529411765,0.0477941176470588,0.0625
"Q9BV35",0.0952380952380952,0.0769230769230769,0.0293040293040293,0.0183150183150183,0.010989010989011,0.043956043956044,0.0512820512820513,0.0952380952380952,0.010989010989011,0.0732600732600733,0.131868131868132,0.0476190476190476,0.032967032967033,0.0183150183150183,0.0402930402930403,0.0549450549450549,0.0476190476190476,0.0146520146520147,0.0402930402930403,0.0659340659340659
"Q8BMD8",0.08,0.0436363636363636,0.0254545454545455,0.0145454545454545,0.0109090909090909,0.0472727272727273,0.0472727272727273,0.112727272727273,0.00727272727272727,0.0545454545454545,0.101818181818182,0.0727272727272727,0.04,0.0363636363636364,0.0363636363636364,0.0690909090909091,0.0545454545454545,0.0181818181818182,0.0509090909090909,0.0763636363636364
"O18757",0.075187969924812,0.0488721804511278,0.0300751879699248,0.0150375939849624,0.0112781954887218,0.0413533834586466,0.0413533834586466,0.116541353383459,0.0075187969924812,0.0639097744360902,0.105263157894737,0.0676691729323308,0.0413533834586466,0.037593984962406,0.0413533834586466,0.056390977443609,0.0526315789473684,0.018796992481203,0.0526315789473684,0.075187969924812
"Q6GQS1",0.0915750915750916,0.0732600732600733,0.0366300366300366,0.010989010989011,0.010989010989011,0.0512820512820513,0.0549450549450549,0.0989010989010989,0.010989010989011,0.0732600732600733,0.120879120879121,0.0476190476190476,0.0293040293040293,0.0183150183150183,0.0402930402930403,0.0549450549450549,0.043956043956044,0.0146520146520147,0.0402930402930403,0.0769230769230769
"O97562",0.128813559322034,0.0745762711864407,0.023728813559322,0.0372881355932203,0.0169491525423729,0.0338983050847458,0.0372881355932203,0.0983050847457627,0.0135593220338983,0.0338983050847458,0.0915254237288136,0.0440677966101695,0.023728813559322,0.0406779661016949,0.0372881355932203,0.0610169491525424,0.0813559322033898,0.00677966101694915,0.0338983050847458,0.0813559322033898
"Q7ZY36",0.0919117647058824,0.0330882352941176,0.0330882352941176,0.0110294117647059,0.0110294117647059,0.0367647058823529,0.0441176470588235,0.117647058823529,0.00735294117647059,0.0698529411764706,0.102941176470588,0.0882352941176471,0.0404411764705882,0.0330882352941176,0.0367647058823529,0.0514705882352941,0.0625,0.0183823529411765,0.0477941176470588,0.0625
"Q5XHA0",0.0992647058823529,0.0441176470588235,0.0294117647058824,0.0110294117647059,0.0110294117647059,0.0367647058823529,0.0441176470588235,0.117647058823529,0.00367647058823529,0.0698529411764706,0.0992647058823529,0.0882352941176471,0.0404411764705882,0.0367647058823529,0.0367647058823529,0.0514705882352941,0.0588235294117647,0.0183823529411765,0.0441176470588235,0.0588235294117647
"A2CEQ0",0.101083032490975,0.0577617328519856,0.0324909747292419,0.0144404332129964,0.0144404332129964,0.0469314079422383,0.0397111913357401,0.111913357400722,0.0144404332129964,0.075812274368231,0.104693140794224,0.0469314079422383,0.0397111913357401,0.0252707581227437,0.0324909747292419,0.0722021660649819,0.0577617328519856,0.0144404332129964,0.0397111913357401,0.0577617328519856
"Q5XH95",0.0866425992779783,0.0505415162454874,0.0288808664259928,0.0180505415162455,0.0144404332129964,0.0469314079422383,0.0397111913357401,0.104693140794224,0.0144404332129964,0.0685920577617329,0.104693140794224,0.0613718411552347,0.0541516245487365,0.0252707581227437,0.036101083032491,0.0649819494584837,0.0541516245487365,0.0144404332129964,0.0397111913357401,0.0722021660649819
"Q7ZYD5",0.0866425992779783,0.0505415162454874,0.0324909747292419,0.0144404332129964,0.0144404332129964,0.0469314079422383,0.0397111913357401,0.104693140794224,0.0180505415162455,0.0685920577617329,0.104693140794224,0.0577617328519856,0.0433212996389892,0.0324909747292419,0.036101083032491,0.0649819494584837,0.0541516245487365,0.0144404332129964,0.0397111913357401,0.075812274368231
"Q6KCM7",0.108303249097473,0.0722021660649819,0.0288808664259928,0.0180505415162455,0.0144404332129964,0.0469314079422383,0.036101083032491,0.0974729241877256,0.0144404332129964,0.0613718411552347,0.104693140794224,0.0397111913357401,0.0469314079422383,0.0252707581227437,0.036101083032491,0.0649819494584837,0.0541516245487365,0.0144404332129964,0.0397111913357401,0.075812274368231
"Q6NYZ6",0.0746268656716418,0.0447761194029851,0.0223880597014925,0.0149253731343284,0.0223880597014925,0.0373134328358209,0.0447761194029851,0.104477611940299,0.0149253731343284,0.0671641791044776,0.104477611940299,0.0634328358208955,0.0447761194029851,0.0223880597014925,0.0373134328358209,0.0783582089552239,0.0708955223880597,0.0149253731343284,0.041044776119403,0.0746268656716418
"Q5R5A8",0.118055555555556,0.0625,0.0277777777777778,0.0347222222222222,0.0173611111111111,0.0277777777777778,0.0486111111111111,0.09375,0.0104166666666667,0.0347222222222222,0.0868055555555556,0.0451388888888889,0.0347222222222222,0.0451388888888889,0.0347222222222222,0.0659722222222222,0.0833333333333333,0.00694444444444444,0.0381944444444444,0.0833333333333333
